,FID,LOC_ID,SITECODE,UTM_E,UTM_N,LATITUDE,LONGITUDE,ALT_SITECODE,PI,LOC_TYPE,GPS_ELEV,DATE_COLLECTED,PROJECT_DESCRIPTION
1,172,173,EP25-3E,449761.885,4434165.754,40.056242,-105.5890278,EP25-3E,Marilyn Walker,manipulative plot,3527.402,,ITEX exp
1,173,174,EP25-3C,449761.463,4434164.205,40.0562281,-105.5890326,EP25-3C,Marilyn Walker,manipulative plot,3527.524,,ITEX exp
1,174,175,25-5E,449751.916,4434131.63,40.055934,-105.589142,25-5E,Marilyn Walker,manipulative plot,3529.014,,ITEX exp
1,175,176,25-5C,449750.972,4434129.923,40.0559186,-105.589153,25-5C,Marilyn Walker,manipulative plot,3529.003,,ITEX exp
1,176,177,25-4E,449750.64,4434125.094,40.0558751,-105.5891565,25-4E,Marilyn Walker,manipulative plot,3528.356,,ITEX exp
1,177,178,25-4C,449748.81,4434124.534,40.0558699,-105.5891779,25-4C,Marilyn Walker,manipulative plot,3528.145,,ITEX exp
1,178,179,25-3E,449749.899,4434123.061,40.0558567,-105.589165,25-3E,Marilyn Walker,manipulative plot,3528.673,,ITEX exp
1,179,180,25-3C,449748.091,4434121.367,40.0558413,-105.5891861,25-3C,Marilyn Walker,manipulative plot,3529.502,,ITEX exp
1,180,181,25-2E,449748.336,4434118.92,40.0558193,-105.589183,25-2E,Marilyn Walker,manipulative plot,3529.735,,ITEX exp
1,181,182,25-2C,449747.257,4434117.303,40.0558047,-105.5891955,25-2C,Marilyn Walker,manipulative plot,3529.796,,ITEX exp
1,182,183,25-1E,449747.743,4434115.804,40.0557912,-105.5891897,25-1E,Marilyn Walker,manipulative plot,3530.111,,ITEX exp
1,183,184,25-1C,449746.408,4434114.181,40.0557765,-105.5892052,25-1C,Marilyn Walker,manipulative plot,3529.965,,ITEX exp
1,184,185,EP25-2C,449741.576,4434084.902,40.0555124,-105.5892596,EP25-2C,Marilyn Walker,manipulative plot,3530.521,,ITEX exp
1,185,186,EP25-2E,449740.086,4434083.754,40.055502,-105.589277,EP25-2E,Marilyn Walker,manipulative plot,3530.606,,ITEX exp
1,186,187,EP25-1C,449740.212,4434081.907,40.0554854,-105.5892754,EP25-1C,Marilyn Walker,manipulative plot,3530.628,,ITEX exp
1,187,188,EP45-1E,449759.577,4434080.604,40.0554748,-105.5890483,EP45-1E,Marilyn Walker,manipulative plot,3531.137,,ITEX exp
1,188,189,EP45-1C,449758.651,4434082.099,40.0554882,-105.5890592,EP45-1C,Marilyn Walker,manipulative plot,3531.132,,ITEX exp
1,189,190,EP45-2E,449760.293,4434082.802,40.0554946,-105.58904,EP45-2E,Marilyn Walker,manipulative plot,3531.45,,ITEX exp
1,190,191,EP45-2C,449760.861,4434084.458,40.0555096,-105.5890335,EP45-2C,Marilyn Walker,manipulative plot,3531.696,,ITEX exp
1,191,192,45-1E,449762.063,4434091.324,40.0555715,-105.5890199,45-1E,Marilyn Walker,manipulative plot,3531.62,,ITEX exp
1,192,193,45-1C,449761.175,4434092.959,40.0555862,-105.5890305,45-1C,Marilyn Walker,manipulative plot,3531.472,,ITEX exp
1,193,194,45-2E,449762.704,4434094.2,40.0555974,-105.5890126,45-2E,Marilyn Walker,manipulative plot,3531.609,,ITEX exp
1,194,195,45-2C,449761.883,4434096.04,40.055614,-105.5890224,45-2C,Marilyn Walker,manipulative plot,3531.029,,ITEX exp
1,195,196,45-3E,449765.284,4434103.055,40.0556774,-105.5889831,45-3E,Marilyn Walker,manipulative plot,3530.412,,ITEX exp
1,196,197,45-3C,449765.538,4434104.758,40.0556927,-105.5889802,45-3C,Marilyn Walker,manipulative plot,3529.954,,ITEX exp
1,197,198,45-4E,449769.197,4434118.824,40.0558197,-105.5889384,45-4E,Marilyn Walker,manipulative plot,3529.386,,ITEX exp
1,198,199,45-4C,449768.662,4434120.601,40.0558357,-105.5889448,45-4C,Marilyn Walker,manipulative plot,3529.264,,ITEX exp
1,199,200,45-5E,449773.807,4434135.758,40.0559725,-105.5888857,45-5E,Marilyn Walker,manipulative plot,3528.57,,ITEX exp
1,200,201,45-5C,449774.054,4434137.324,40.0559866,-105.5888829,45-5C,Marilyn Walker,manipulative plot,3528.616,,ITEX exp
1,201,202,EP45-3E,449779.571,4434161.016,40.0562004,-105.5888201,EP45-3E,Marilyn Walker,manipulative plot,3527.472,,ITEX exp
1,202,203,EP45-3C,449781.189,4434161.407,40.056204,-105.5888011,EP45-3C,Marilyn Walker,manipulative plot,3527.689,,ITEX exp
1,203,204,EP75-3E,449808.625,4434153.375,40.0561333,-105.5884789,EP75-3E,Marilyn Walker,manipulative plot,3528.763,,ITEX exp
1,204,205,EP75-3C,449810.575,4434153.755,40.0561368,-105.588456,EP75-3C,Marilyn Walker,manipulative plot,3527.952,,ITEX exp
1,205,206,EP75-2E,449809.581,4434151.03,40.0561122,-105.5884675,EP75-2E,Marilyn Walker,manipulative plot,3528.545,,ITEX exp
1,206,207,EP75-2C,449808.747,4434149.299,40.0560966,-105.5884771,EP75-2C,Marilyn Walker,manipulative plot,3528.522,,ITEX exp
1,207,208,75-5C,449801.127,4434126.292,40.0558889,-105.5885647,75-5C,Marilyn Walker,manipulative plot,3529.749,,ITEX exp
1,208,209,75-5E,449801.676,4434124.533,40.055873,-105.5885581,75-5E,Marilyn Walker,manipulative plot,3530.228,,ITEX exp
1,209,210,75-4E,449801.08,4434122.549,40.0558551,-105.5885649,75-4E,Marilyn Walker,manipulative plot,3530.538,,ITEX exp
1,210,211,75-4C,449800.513,4434121.147,40.0558425,-105.5885715,75-4C,Marilyn Walker,manipulative plot,3530.645,,ITEX exp
1,211,212,75-3C,449795.472,4434105.931,40.0557051,-105.5886294,75-3C,Marilyn Walker,manipulative plot,3531.544,,ITEX exp
1,212,213,75-3E,449796.439,4434104.414,40.0556915,-105.5886179,75-3E,Marilyn Walker,manipulative plot,3531.545,,ITEX exp
